identificador,país,mulher_casa_filhos,casa_realização,trab_homem_mulher,homem_domésticas,homem_cuidado,lavar_roupa,pequenos_reparos,doença_parentes,compras,limpeza,comida,horas_trab_dom,divisão_tar_dom,conflito_tar_dom,decisões_crianças,sobrecarga_tar_dom,stress_casa,cansaço_tar_dom,cansaço_dom_trab,concentração_trab,familia_satisfação,filhos_maiores,crianças_pequenas,idade,sexo,status_marital,anos_escolaridade,emprego_status,horas_trab,rendimento,renda_familiar,identidade_etnica
35001143,Brazil (BR),Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,About equal o both together,"Always me,PL:the woman",40,I do a bit more than my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Disagree,NA,NA,NA,NA,Fairly satisfied,NA,1 child,26,Female,"Marr,liv as mar",13,"Housewife,home duties",NA,NA,1800,"Europe,White/European"
35001145,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman",About equal o both together,30,I do a bit more than my fair share,"Less often, rarely",We decide together,Strongly agree,Disagree,Several times a week,Several times a month,Several times a month,Fairly satisfied,1 child,1 child,46,Female,"Marr,liv as mar",15,Employed-full time,40,1500,2500,"Europe,White/European"
35001147,Brazil (BR),Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",42,I do roughly my fair share,Never,Mostly me,Strongly agree,NA,Never,Never,Never,Neither satisfied nor dissatisfied,NA,NA,47,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,120,520,"Other,mixed origin,one-non-swedish"
35001148,Brazil (BR),Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Done by a third person,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman",28,I do roughly my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly agree,Never,Never,Several times a month,Very satisfied,2 children,NA,36,Female,"Marr,liv as mar",11,Employed-full time,20,600,2000,"Europe,White/European"
35001150,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Agree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",20,I do roughly my fair share,"Less often, rarely","Mostly my spouse,partner",Strongly agree,Strongly agree,NA,NA,NA,Very satisfied,NA,NA,51,Male,"Marr,liv as mar",5,Retired,NA,1200,1200,"Europe,White/European"
35001151,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",1,I do roughly my fair share,Never,We decide together,Strongly disagree,Neither agree nor disagree,Never,Never,Never,Fairly satisfied,NA,1 child,35,Male,"Marr,liv as mar",8,Employed-full time,72,800,800,"Europe,White/European"
35001154,Brazil (BR),Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Neither agree nor disagree,Once or twice a year,Once or twice a year,Once or twice a year,Very satisfied,2 children,2 children,31,Female,"Marr,liv as mar",14,Employed-part time,18,1000,2000,"Other,mixed origin,one-non-swedish"
35001155,Brazil (BR),Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Done by a third person,"Usually me,PL:the woman",Done by a third person,"Usually my spouse,partner,PL:the man",Done by a third person,Done by a third person,30,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,Several times a month,Several times a month,Once or twice a year,Fairly satisfied,NA,1 child,39,Male,"Marr,liv as mar",4,Employed-full time,48,1000,1000,"Other,mixed origin,one-non-swedish"
35001156,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",Done by a third person,About equal o both together,"Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",10,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,NA,NA,25,Male,"Marr,liv as mar",11,Employed-full time,40,1500,1500,"Europe,White/European"
35001160,Brazil (BR),Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman",NA,I do roughly my fair share,Never,We decide together,Agree,Disagree,NA,NA,NA,Very satisfied,NA,1 child,25,Female,"Marr,liv as mar",3,"Housewife,home duties",NA,500,500,"Other,mixed origin,one-non-swedish"
35001166,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,About equal o both together,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",1,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Neither agree nor disagree,Several times a month,Several times a month,Several times a month,Very satisfied,1 child,NA,34,Male,"Marr,liv as mar",8,"Oth,not i labour force",NA,400,400,"Europe,White/European"
35001167,Brazil (BR),Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",50,I do roughly my fair share,Never,Mostly me,Strongly agree,Strongly agree,Several times a month,Several times a week,Several times a week,Very satisfied,NA,1 child,45,Female,"Marr,liv as mar",11,Employed-full time,10,240,600,"Other,mixed origin,one-non-swedish"
35001168,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",10,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Strongly agree,Several times a week,Several times a week,Several times a week,Very satisfied,NA,NA,43,Male,"Marr,liv as mar",5,Employed-full time,40,450,800,"Europe,White/European"
35001170,Brazil (BR),Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",10,I do roughly my fair share,Never,Mostly me,Disagree,Disagree,Once or twice a year,Several times a month,Several times a month,Fairly satisfied,3 children,NA,46,Female,"Marr,liv as mar",15,Employed-full time,30,800,1200,"Other,mixed origin,one-non-swedish"
35001172,Brazil (BR),Strongly agree,Strongly agree,Agree,Agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",36,I do roughly my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Disagree,Disagree,Never,Never,Never,Fairly satisfied,1 child,NA,39,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,500,1000,"Other,mixed origin,one-non-swedish"
35001174,Brazil (BR),Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,I do roughly my fair share,"Less often, rarely",We decide together,Agree,Disagree,Never,Never,Never,Very satisfied,NA,NA,48,Male,"Marr,liv as mar",8,Employed-full time,60,800,800,"Black/African/Carribean,No-Spanish"
35001175,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,I do much more than my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Disagree,Disagree,Never,Never,Never,Fairly satisfied,2 children,NA,35,Female,"Marr,liv as mar",2,"Housewife,home duties",NA,NA,900,"Other,mixed origin,one-non-swedish"
35001176,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,I do roughly my fair share,Never,"Sometimes me,sometimes spouse",NA,Disagree,Never,Never,Never,Very satisfied,1 child,NA,70,Male,"Marr,liv as mar",1,Retired,NA,500,500,"Other,mixed origin,one-non-swedish"
35001177,Brazil (BR),Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Several times a year,"Sometimes me,sometimes spouse",Agree,Agree,Once or twice a year,Never,Never,Fairly satisfied,1 child,2 children,29,Female,"Marr,liv as mar",14,Employed-full time,4,100,900,"Other,mixed origin,one-non-swedish"
35001180,Brazil (BR),Disagree,Strongly agree,Strongly disagree,NA,Strongly agree,"Usually me,PL:the woman","Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",15,I do much less than my fair share,Several times a year,We decide together,Strongly disagree,Strongly disagree,Several times a month,Never,Never,Very satisfied,1 child,1 child,28,Male,"Marr,liv as mar",11,"Oth,not i labour force",NA,700,700,"Europe,White/European"
35001183,Brazil (BR),Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",30,I do much more than my fair share,"Less often, rarely",Mostly me,Agree,Agree,Never,Never,Never,Fairly satisfied,NA,2 children,31,Female,"Marr,liv as mar",11,"Housewife,home duties",NA,NA,2400,"Europe,White/European"
35001189,Brazil (BR),Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",50,I do much more than my fair share,"Less often, rarely",We decide together,Neither agree nor disagree,Strongly agree,NA,NA,NA,Fairly satisfied,1 child,1 child,86,Male,"Marr,liv as mar",15,Retired,NA,3200,3500,"Europe,White/European"
35001190,Brazil (BR),Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,"Always me,PL:the woman",About equal o both together,About equal o both together,32,I do roughly my fair share,Several times a week,Mostly me,Strongly agree,Disagree,Several times a month,Once or twice a year,Several times a month,Fairly satisfied,1 child,NA,37,Female,"Marr,liv as mar",5,Employed-full time,48,520,1200,"Other,mixed origin,one-non-swedish"
35001191,Brazil (BR),Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Done by a third person,"Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",3,I do a bit less than my fair share,"Less often, rarely","Sometimes me,sometimes spouse",Strongly agree,Strongly agree,Several times a month,Several times a month,Once or twice a year,Neither satisfied nor dissatisfied,1 child,NA,39,Male,"Marr,liv as mar",6,Employed-full time,48,600,1000,"Black/African/Carribean,No-Spanish"
35001195,Brazil (BR),Disagree,Disagree,Agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",6,I do a bit more than my fair share,Several times a week,We decide together,Disagree,Strongly agree,Several times a month,Never,Several times a month,Very satisfied,1 child,NA,49,Male,"Marr,liv as mar",8,Employed-full time,20,400,700,"Europe,White/European"
35001197,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",8,I do roughly my fair share,"Less often, rarely",NA,NA,NA,NA,NA,NA,Fairly satisfied,NA,NA,68,Male,"Marr,liv as mar",97,Retired,NA,240,240,"Black/African/Carribean,No-Spanish"
35001202,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",30,I do a bit more than my fair share,Never,We decide together,Strongly disagree,Strongly disagree,Never,Never,Never,Very satisfied,1 child,NA,44,Female,"Marr,liv as mar",7,"Oth,not i labour force",NA,340,1000,"Other,mixed origin,one-non-swedish"
35001203,Brazil (BR),Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",5,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly disagree,Never,Never,Never,Very satisfied,1 child,NA,40,Male,"Marr,liv as mar",6,Employed-full time,20,800,800,"Black/African/Carribean,No-Spanish"
35001207,Brazil (BR),Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Done by a third person,Done by a third person,About equal o both together,About equal o both together,About equal o both together,"Always me,PL:the woman",5,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Disagree,Once or twice a year,Once or twice a year,Once or twice a year,Very satisfied,NA,1 child,30,Female,"Marr,liv as mar",15,Employed-full time,40,1500,3000,"Europe,White/European"
35001209,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,We decide together,NA,NA,NA,NA,NA,Very satisfied,NA,NA,53,Female,"Marr,liv as mar",97,"Housewife,home duties",NA,NA,900,"Europe,White/European"
35001216,Brazil (BR),Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",20,I do roughly my fair share,Several times a week,"Sometimes me,sometimes spouse",Strongly agree,Agree,Once or twice a year,Several times a week,Once or twice a year,Fairly satisfied,NA,NA,35,Female,"Marr,liv as mar",8,Employed-full time,60,300,600,"Europe,White/European"
35001218,Brazil (BR),Agree,Neither agree nor disagree,Agree,Agree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",30,I do roughly my fair share,Several times a month,"Sometimes me,sometimes spouse",Agree,Agree,NA,NA,NA,Neither satisfied nor dissatisfied,NA,NA,62,Male,"Marr,liv as mar",3,Retired,NA,240,800,"Other,mixed origin,one-non-swedish"
35001220,Brazil (BR),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,24,I do roughly my fair share,"Less often, rarely",NA,Neither agree nor disagree,Strongly agree,Never,Never,Once or twice a year,Very satisfied,NA,NA,24,Male,"Marr,liv as mar",11,Employed-full time,56,600,2000,"Europe,White/European"
35001222,Brazil (BR),Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",56,I do roughly my fair share,Never,We decide together,Agree,Disagree,NA,NA,NA,Fairly satisfied,2 children,NA,31,Female,"Marr,liv as mar",5,"Housewife,home duties",NA,50,400,"Other,mixed origin,one-non-swedish"
35001224,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",30,I do roughly my fair share,Several times a week,We decide together,Neither agree nor disagree,Disagree,NA,NA,NA,Fairly satisfied,2 children,NA,29,Female,"Marr,liv as mar",5,"Housewife,home duties",NA,NA,700,"Europe,White/European"
35001226,Brazil (BR),Agree,Agree,Agree,Disagree,Neither agree nor disagree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",NA,"Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",96,NA,"Less often, rarely","Sometimes me,sometimes spouse",NA,Strongly agree,NA,NA,NA,Fairly satisfied,NA,NA,78,Male,"Marr,liv as mar",4,Retired,NA,1800,2500,"Europe,White/European"
35001229,Brazil (BR),Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",70,I do much more than my fair share,"Less often, rarely",Mostly me,Agree,Agree,NA,NA,NA,Fairly satisfied,2 children,NA,47,Female,"Marr,liv as mar",4,"Housewife,home duties",NA,NA,600,"Other,mixed origin,one-non-swedish"
35001230,Brazil (BR),Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",50,I do much more than my fair share,"Less often, rarely",We decide together,Strongly agree,Strongly disagree,NA,NA,NA,Very satisfied,NA,NA,59,Female,"Marr,liv as mar",15,Retired,NA,1300,2000,"Europe,White/European"
35001234,Brazil (BR),Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,About equal o both together,About equal o both together,About equal o both together,About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man",14,I do roughly my fair share,Several times a week,We decide together,Neither agree nor disagree,Disagree,Several times a month,Never,Once or twice a year,Fairly satisfied,1 child,NA,41,Male,"Marr,liv as mar",12,Employed-full time,48,1100,1600,"Other,mixed origin,one-non-swedish"
35001236,Brazil (BR),Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Agree,Done by a third person,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",Done by a third person,Done by a third person,10,I do a bit less than my fair share,Never,We decide together,Agree,Agree,Several times a week,Never,Once or twice a year,Fairly satisfied,3 children,NA,60,Male,"Marr,liv as mar",15,Employed-full time,50,2000,3000,"Europe,White/European"
35001237,Brazil (BR),Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Done by a third person,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually me,PL:the woman",Done by a third person,"Usually me,PL:the woman",20,I do roughly my fair share,Several times a month,We decide together,Strongly agree,Agree,NA,NA,NA,Fairly satisfied,3 children,1 child,69,Female,"Marr,liv as mar",3,Retired,NA,200,1200,"Other,mixed origin,one-non-swedish"
35001242,Brazil (BR),Agree,Agree,Strongly disagree,Agree,Agree,About equal o both together,"Usually me,PL:the woman",Done by a third person,About equal o both together,"Always my spouse,partner,PL:the man",About equal o both together,14,I do roughly my fair share,"Less often, rarely",We decide together,Neither agree nor disagree,Neither agree nor disagree,Once or twice a year,Never,Once or twice a year,Fairly satisfied,NA,NA,46,Male,"Marr,liv as mar",8,Employed-full time,48,2700,3000,"Other,mixed origin,one-non-swedish"
35001246,Brazil (BR),Disagree,Strongly agree,Strongly disagree,Agree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman",30,I do a bit more than my fair share,"Less often, rarely",We decide together,Strongly agree,Agree,Once or twice a year,Several times a month,Several times a month,Fairly satisfied,NA,NA,45,Female,"Marr,liv as mar",5,Employed-part time,15,240,850,"Europe,White/European"
35001248,Brazil (BR),Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Done by a third person,"Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man",Done by a third person,Done by a third person,8,I do a bit more than my fair share,NA,We decide together,Agree,Neither agree nor disagree,Several times a week,Never,Never,Fairly satisfied,3 children,4 children,68,Male,"Marr,liv as mar",4,Employed-part time,44,1400,1700,"Other,mixed origin,one-non-swedish"
35001249,Brazil (BR),Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,"Always me,PL:the woman",About equal o both together,About equal o both together,"Usually me,PL:the woman",Done by a third person,"Usually me,PL:the woman",20,I do roughly my fair share,Several times a month,Mostly me,Agree,Disagree,NA,NA,NA,Neither satisfied nor dissatisfied,4 children,NA,57,Female,"Marr,liv as mar",2,"Housewife,home duties",NA,1200,2600,"Other,mixed origin,one-non-swedish"
35001250,Brazil (BR),Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,I do a bit more than my fair share,Several times a month,Mostly me,Strongly agree,Neither agree nor disagree,NA,NA,NA,Fairly satisfied,1 child,1 child,36,Female,"Marr,liv as mar",9,"Housewife,home duties",NA,NA,600,"Other,mixed origin,one-non-swedish"
35001251,Brazil (BR),Disagree,Disagree,Strongly disagree,Disagree,Agree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",2,I do a bit less than my fair share,Several times a week,Mostly me,Disagree,Agree,Several times a month,Never,Never,Fairly satisfied,1 child,1 child,35,Male,"Marr,liv as mar",9,Employed-full time,NA,800,1200,"Europe,White/European"
35001252,Brazil (BR),Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,About equal o both together,"Usually me,PL:the woman",NA,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",20,I do roughly my fair share,Several times a month,NA,Agree,Neither agree nor disagree,Several times a month,Several times a month,Never,Fairly satisfied,NA,NA,60,Male,"Marr,liv as mar",5,Employed-part time,44,380,750,"Black/African/Carribean,No-Spanish"
35001253,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",5,I do a bit more than my fair share,"Less often, rarely",We decide together,Strongly agree,Agree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,NA,NA,48,Male,"Marr,liv as mar",15,Employed-full time,56,4000,4000,"Europe,White/European"
35001264,Brazil (BR),Strongly disagree,Agree,Strongly disagree,Agree,Agree,"Usually me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do much more than my fair share,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Several times a month,Several times a month,Several times a month,Fairly dissatisfied,NA,NA,41,Male,"Marr,liv as mar",7,"Oth,not i labour force",NA,100,400,"Black/African/Carribean,No-Spanish"
35001265,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Done by a third person,"Always me,PL:the woman","Always me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man",Done by a third person,24,I do roughly my fair share,Never,We decide together,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,1 child,1 child,35,Male,"Marr,liv as mar",11,Employed-full time,44,700,1500,"Europe,White/European"
35001267,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",8,I do roughly my fair share,Never,We decide together,NA,NA,NA,NA,NA,Very satisfied,NA,NA,58,Male,"Marr,liv as mar",2,Unemployed,NA,NA,480,"Europe,White/European"
35001270,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",40,I do roughly my fair share,Never,We decide together,Strongly disagree,Strongly disagree,NA,NA,NA,Very satisfied,2 children,NA,55,Female,"Marr,liv as mar",1,"Housewife,home duties",NA,NA,800,"Black/African/Carribean,No-Spanish"
35001271,Brazil (BR),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",70,I do roughly my fair share,Never,Mostly me,NA,NA,NA,NA,NA,Very satisfied,2 children,1 child,35,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,50,500,"Europe,White/European"
35001276,Brazil (BR),Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,"Always my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",10,I do roughly my fair share,Never,We decide together,Neither agree nor disagree,Neither agree nor disagree,Several times a month,Several times a month,Several times a month,Very satisfied,4 children,NA,46,Male,"Marr,liv as mar",11,Employed-full time,36,400,400,"Other,mixed origin,one-non-swedish"
35001278,Brazil (BR),Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"Always me,PL:the woman",About equal o both together,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",70,I do a bit more than my fair share,"Less often, rarely",We decide together,NA,NA,NA,NA,NA,Very satisfied,1 child,1 child,34,Female,"Marr,liv as mar",8,"Housewife,home duties",NA,NA,700,"Europe,White/European"
35001279,Brazil (BR),Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Done by a third person,"Always my spouse,partner,PL:the man",Done by a third person,"Always me,PL:the woman",Done by a third person,"Always me,PL:the woman",28,I do a bit more than my fair share,"Less often, rarely",Mostly me,Neither agree nor disagree,Neither agree nor disagree,Several times a month,Several times a month,Several times a month,Neither satisfied nor dissatisfied,1 child,NA,46,Female,"Marr,liv as mar",7,Employed-full time,30,500,500,"Other,mixed origin,one-non-swedish"
35001288,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,About equal o both together,"Always my spouse,partner,PL:the man",About equal o both together,About equal o both together,"Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",40,I do roughly my fair share,"Less often, rarely",We decide together,Strongly disagree,Strongly disagree,Never,Never,Never,Very satisfied,NA,NA,65,Male,"Marr,liv as mar",3,Retired,NA,400,800,"Europe,White/European"
35001291,Brazil (BR),Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman","Always my spouse,partner,PL:the man",Done by a third person,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",30,I do roughly my fair share,"Less often, rarely",We decide together,Agree,Agree,Several times a month,Never,Several times a month,Very satisfied,1 child,2 children,31,Female,"Marr,liv as mar",14,Employed-full time,44,480,NA,"Europe,White/European"
