v1,v2,v3,COUNTRY,C_ALPHAN,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332,v333,v334,v335,v336,v337,v338,v339,v340,v341,v342,v343,v344,v345,v346,v347,v348,v349,v350,v351,v352,v353,v354,v355,v356,v357,v358,v359,v360,v361
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001839,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work full-time,Work full-time,Work full-time,Work full-time,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always my spouse,partner,PL:the man","Usually me,PL:the woman","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man","Always my spouse,partner,PL:the man",44,1,I do a bit more than my fair share,"Less often, rarely","Mostly my spouse,partner","Mostly my spouse,partner",We decide together,I have much higher income,Disagree,Disagree,Disagree,Disagree,Several times a month,Several times a week,Once or twice a year,Once or twice a year,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked part-time,Worked part-time,Worked part-time,Worked part-time,Work full-time,6 persons,NA,NA,6,4,Higher secondary completed,NA,Male,51,"Marr,liv as mar",NA,15,University degree completed,NA,NA,NA,University completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,44,1231,"Private firm, others",NA,"Yes,supervises",NA,"F-t empl,main job",NA,NA,5000,5000,6,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001840,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",1,1,I do roughly my fair share,Several times a month,"Mostly my spouse,partner","Mostly my spouse,partner",Mostly me,I have much higher income,Agree,Agree,Strongly agree,Strongly agree,Several times a month,Once or twice a year,Once or twice a year,Once or twice a year,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",Worked part-time,Worked part-time,Worked part-time,Worked part-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,2 persons,NA,1 child,NA,1,No formal qualification,44,Male,26,"Marr,liv as mar",NA,8,Lowest formal qualification,NA,NA,NA,Primary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,44,9132,"Private firm, others",NA,"No,do n supervise",NA,"F-t empl,main job",Domestic helpers and cleaners,NA,350,600,NA,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001841,Brazil (BR),BR,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,We pool all the money,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",3,3,I do a bit more than my fair share,"Less often, rarely",Mostly me,Mostly me,Mostly me,Spouse has no income,Strongly agree,Strongly agree,Strongly agree,Agree,Several times a month,Several times a week,Once or twice a year,Once or twice a year,Very happy,Very satisfied,Very satisfied,"Yes, she worked for pay",Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,4 persons,2 children,NA,6,7,No formal qualification,44,Female,52,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-part time,24,9132,Self employed,NA,"No,do n supervise",NA,"F-t empl,main job","Icinerator,water-treatment+rel.oper",NA,280,280,6,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001846,Brazil (BR),BR,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,I manage all the money,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",15,5,I do roughly my fair share,"Less often, rarely",We decide together,"Sometimes me,sometimes spouse",We decide together,Spouse has no income,NA,NA,NA,NA,NA,NA,NA,NA,Fairly happy,NA,Very satisfied,No,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Work part-time,2 persons,NA,NA,3,1,No formal qualification,NA,Male,49,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oth,not i labour force",NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,200,200,3,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001847,Brazil (BR),BR,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Work full-time,Stay at home,Stay at home,NA,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",10,5,I do roughly my fair share,Never,"Sometimes me,sometimes spouse","Sometimes me,sometimes spouse",We decide together,Spouse has no income,NA,NA,NA,NA,NA,NA,NA,NA,Very happy,Fairly satisfied,Fairly satisfied,No,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Stay at home,3 persons,NA,NA,3,2,No formal qualification,NA,Male,60,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retired,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,240,600,3,NA,Far left etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Less frequently,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001848,Brazil (BR),BR,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Work part-time,Work part-time,Work part-time,Work part-time,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",25,90,I do roughly my fair share,Never,We decide together,"Sometimes me,sometimes spouse","Sometimes me,sometimes spouse",I have no income,NA,Agree,NA,NA,NA,NA,NA,NA,Very happy,NA,Fairly satisfied,"Yes, she worked for pay",NA,NA,NA,NA,NA,NA,NA,NA,Work part-time,2 persons,NA,NA,2,NA,No formal qualification,NA,Female,57,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,NA,700,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Black/African/Carribean,No-Spanish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001849,Brazil (BR),BR,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Stay at home,Stay at home,Stay at home,Stay at home,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",30,5,I do a bit more than my fair share,Never,We decide together,We decide together,We decide together,Spouse has higher income,NA,NA,NA,NA,NA,NA,NA,NA,Fairly happy,NA,Fairly satisfied,"Yes, she worked for pay",Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stay at home,2 persons,NA,NA,2,3,No formal qualification,NA,Female,63,"Marr,liv as mar",NA,5,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,430,1200,2,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pentecostal,Protestant,NA,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001850,Brazil (BR),BR,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Stay at home,Stay at home,Stay at home,Stay at home,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money","Usually me,PL:the woman","Usually my spouse,partner,PL:the man",About equal o both together,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",15,90,I do roughly my fair share,Never,We decide together,We decide together,We decide together,I have no income,Agree,NA,NA,NA,NA,NA,NA,NA,Very happy,NA,Fairly satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stay at home,4 persons,1 child,NA,5,3,No formal qualification,44,Female,45,"Marr,liv as mar",NA,8,Lowest formal qualification,NA,NA,NA,Primary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job",Electronics+telecommunication techn,NA,NA,350,5,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pentecostal,Protestant,Once a week,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001851,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Stay at home,Stay at home,Stay at home,Stay at home,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Spouse,partner manages money","Usually me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",90,90,I do roughly my fair share,Never,We decide together,We decide together,We decide together,I have no income,NA,NA,NA,NA,NA,NA,NA,NA,Fairly happy,NA,Very satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stay at home,2 persons,NA,1 child,3,1,Above lowest qualification,44,Female,18,"Marr,liv as mar",NA,11,Higher secondary completed,NA,NA,NA,Secondary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oth,not i labour force",NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,NA,350,3,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Less frequently,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001852,Brazil (BR),BR,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",90,90,I do roughly my fair share,"Less often, rarely",NA,We decide together,We decide together,Spouse has no income,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never,Very happy,Very satisfied,Very satisfied,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 persons,NA,NA,2,NA,Higher secondary completed,NA,Male,21,"Marr,liv as mar",NA,11,Higher secondary completed,NA,NA,NA,Secondary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,70,1231,"Private firm, others",NA,"Yes,supervises",NA,"Oth,not lab force",NA,NA,500,1500,2,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001854,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work part-time,Work part-time,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Each keep own money separate,Done by a third person,Done by a third person,Done by a third person,Done by a third person,Done by a third person,Done by a third person,96,96,I do roughly my fair share,Never,We decide together,"Sometimes me,sometimes spouse",We decide together,I have a higher income,Strongly disagree,Strongly agree,Strongly disagree,Agree,Never,Never,Never,Never,Very happy,Very satisfied,Very satisfied,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 persons,NA,NA,2,NA,University degree completed,44,Male,39,"Marr,liv as mar",NA,15,University degree completed,NA,NA,NA,University completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,44,3415,Self employed,NA,NA,NA,"F-t empl,main job",Primary educ.teaching prof,NA,1500,2500,2,NA,Far left etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35001858,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Work full-time,Work part-time,Work part-time,Work part-time,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually me,PL:the woman","Usually me,PL:the woman","Always me,PL:the woman",Done by a third person,Done by a third person,"Always me,PL:the woman",20,96,I do much more than my fair share,Never,We decide together,Mostly me,Mostly me,We have about the same income,Strongly agree,NA,Neither agree nor disagree,Strongly agree,Several times a week,Several times a week,Several times a week,Several times a week,Very happy,Very satisfied,Very satisfied,No,Worked full-time,Worked part-time,Worked part-time,NA,Worked full-time,Worked full-time,Worked full-time,NA,Work full-time,4 persons,NA,NA,4,3,Lowest formal qualification,NA,Female,63,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,70,1314,Self employed,NA,NA,NA,Retired,Gen.managers in wholesale+retail trade,NA,800,1040,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,South East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
